ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher
671737821;Honor's Splendour;Julie Garwood;1991;Pocket
451205189;Murder Can Cool Off Your Affair: A Desiree Shapiro Mystery (Desiree Shapiro Mysteries (Paperback));Selma Eichler;2002;Signet Book
821747703;Beloved;Phoebe Conn;1994;Zebra Books
440213290;The Copper Beech;Maeve Binchy;1993;Dell
373226934;Undercover Wife  (The Specialists);Debra Webb;2003;Harlequin
38076735;Lady Legend;Deborah Camp;1992;Harper Mass Market Paperbacks (Mm)
821768107;Anne's Wish (Ballad Romances);Joy Reed;2001;Zebra Books
441791212;Sweet Love Survive;Susan Johnson;1985;Diamond Books (NY)
373707169;Trouble At Lone Spur  (Home On The Ranch) (Harlequin Superromance, No 716);Roz Denny Fox;1996;Harlequin
446346438;Cactus Flower;Shirl Henke;1988;Warner Books
373226950;McQueen's Heat;Harper Allen;2003;Harlequin
821740121;Golden Threads (Lucky in Love No. 14);Rebecca Forster;1992;Kensington Pub Corp (Mm)
671521446;Carried Away;Jill Barnett;1996;Pocket
373169299;At the Rancher's Bidding (Harlequin American Romance, No 929);Charlotte Maclay;2002;Harlequin
67179793;Princess Annie;Linda Lael Miller;1994;Pocket
821768441;Love to Love You Baby;Kasey Michaels;2001;Kensington Publishing Corporation
886777755;Olympus;Martin H Greenberg;1998;Daw Books
440225868;Priceless;Donna Schaff;1998;Dell Publishing Company
373222467;Spirit Warrior (Harlequin Intrigue, No 246);Aimee Thurlo;1993;Harlequin
762406984;The World's Shortest Stories of Love and Death: Passion, Betrayal, Suspicion, Revenge, All This and More in a New Collection of Amazing Short Stories-Each One Just 55 Words Long;Steve Moss;2000;Running Press Book Publishers
717802418;Manifesto of the Communist Party;Karl Marx;1948;International Publishers
477001970;Illuminated Spirit: Conversations With a Kyudo Master;Dan Deprospero;1997;Kodansha International (JPN)
1882180887;A Basic Guide to Archery (An Official U.S. Olympic Committee Sports Series);US Olympic Committee;1997;Griffin Publishing Inc
345409663;Servant of the Bones;ANNE RICE;1997;Ballantine Books
1878257528;Stop! the Watch: A Book of Everyday, Ordinary, Anybody Olympics;Klutz Press;1993;Klutz Press
865714487;Dumbing Us Down: The Hidden Curriculum of Compulsory Schooling;John Taylor Gatto;2002;New Society Publishers
679724494;Kiss of the Spider Woman;Manuel Puig;1991;Vintage Books USA
805059970;Anne Frank: The Biography;Melissa Muller;1999;Owl Publishing Company
71360166;The Undergroundtrader.com Guide to Electronic Trading;Jea Yu;2000;McGraw-Hill Trade
300096860;One World: The Ethics of Globalization;Peter Singer;2002;Yale University Press
39472903;Ogilvy on Advertising;David Ogilvy;1987;Vintage Books USA
851706517;The Birds (Bfi Film Classics);Camille Paglia;1998;British Film Institute
670031518;The Blank Slate: The Modern Denial of Human Nature;Steven Pinker;2002;Penguin Putnam
786864230;Joy Shtick or What is the Existential Vacuum and Does it Come with Attachments;Joy Behar;1999;Hyperion
1852424214;Break It Down (High Risk Books);Lydia Davis;1996;Serpent's Tail
465005225;The Atoms of Language: The Mind's Hidden Rules of Grammar;Mark Baker;2002;Basic Books
425104338;Stephen King's Danse Macabre;Stephen King;1997;Berkley Publishing Group
451191935;The Bachman Books: Rage, the Long Walk, Roadwork, the Running Man;Stephen King;1991;Signet Book
671792288;Bad Or, the Dumbing of America;Paul Fussell;1992;Touchstone Books
787955876;The Contrarian's Guide to Leadership;Steven B Sample;2001;Jossey-Bass
743242602;The Myth of the First Three Years : A New Understanding of Early Brain Development and Lifelong Learning;John Bruer;2002;Free Press
520204514;The Future of the Book;Geoffrey Nunberg;1996;University of California Press
205318088;Mastering Public Speaking (with Interactive Companion Website) (4th Edition);George L Grice;2001;Allyn & Bacon
14118485;Seize the Day (Penguin Modern Classics);Saul Bellow;2001;Penguin Books Ltd
1570623449;When Things Fall Apart : Heart Advice for Difficult Times (Shambhala Classics);PEMA CHODRON;2000;Shambhala
446672483;The Good Marriage : How & Why Love Lasts;Judith S Wallerstein;1996;Warner Books
1558681752;Culture Shock!: Taiwan (Culture Shock);Christopher Bates;1995;Graphic Arts Center Publishing Company
394743644;Sleeping on the Wing : An Anthology of Modern Poetry with Essays on Reading and Writing;KENNETH KOCH;1982;Vintage
380713810;Made in America;Bill Bryson;1996;Perennial
67162248;People Skills;Robert Bolton;1986;Touchstone
767913973;30 Things Everyone Should Know How to Do Before Turning 30;Siobhan Adcock;2003;Broadway Books
684867486;Yesterday I Cried : Celebrating The Lessons Of Living And Loving;Iyanla Vanzant;2000;Fireside
1864502118;Lonely Planet Taiwan (Lonely Planet Taiwan);Robert Storey;2001;Lonely Planet Publications
1587410133;The Hazards of Being Male: Surviving the Myth of Masculine Privilege;Herb Goldberg;2000;Wellness Institute
968246907;Tuiavii's way: A south sea chief's comments on western society;Peter C Cavelti;1997;Legacy Editions
316441791;Set Your Voice Free : Foreword by Dr. Laura Schlesinger;Roger Love;1999;Little, Brown
140125086;Bad Language (Penguin Language & Linguistics);Lars Andersson;1992;Penguin USA
140260234;Language Myths;Laurie Bauer;1999;Penguin Books
415222818;Thinking from A to Z;Nigel Warburton;2000;Routledge
1904048145;Hal Hartley (Pocket Essentials);Jason Wood;2003;Pocketessentials
1573922110;Think to Win: The Power of Logic in Everyday Life;S Cannavo;1998;Prometheus Books
300087152;Humanity: A Moral History of the Twentieth Century;Jonathan Glover;2001;Yale Nota Bene
679756450;Portnoy's Complaint;Philip Roth;1994;Vintage Books USA
340802995;Chinese Language, Life and Culture (Teach Yourself S.);Kenneth Wilkinson;2002;Hodder Arnold Teach Yourself
140140328;The Granta Book of the American Short Story;Richard Ford;1993;Penguin USA
1573228583;Speaking With the Angel;Nick Hornby;2001;Riverhead Books
330334360;Essays in Love/a Novel;Alain De Botton;1995;Macmillan Pub Ltd
140286780;Your Money or Your Life: Transforming Your Relationship With Money and Achieving Financial Independence;Joe Dominguez;1999;Penguin Books
803959907;Intercultural Interactions : A Practical Guide (Cross Cultural Research and Methodology);Kenneth Cushner;1995;SAGE Publications
679734031;The Art of Fiction: Notes on Craft for Young Writers;John Gardner;1991;Vintage Books USA
761123695;The Introvert Advantage: How to Thrive in an Extrovert World;Marti Olsen Laney;2002;Workman Publishing
60997028;Life Is Elsewhere;Milan Kundera;2000;Perennial
60997001;Farewell Waltz: A Novel;Milan Kundera;1998;Perennial
618219196;The Seven Sins of Memory: How the Mind Forgets and Remembers;Daniel L Schacter;2002;Mariner Books
140289216;Sociolinguistics: An Introduction to Language and Society;Peter Trudgill;2001;Penguin Books
415167914;The Articulate Mammal: An Introduction to Psycholinguistics;Jean Aitchison;1998;Routledge
140135154;Ways of Seeing;John Berger;1995;Penguin Books
553211684;Tess of the d'Urbervilles;THOMAS HARDY;1984;Bantam Classics
375757325;Robinson Crusoe (Modern Library Classics);Daniel Defoe;2001;Modern Library
684866005;Can't Buy My Love: How Advertising Changes the Way We Think and Feel;Jean Kilbourne;2000;Free Press
451525914;Women in Love;D H Lawrence;1995;Signet Classics
185788292;Survival Kit for Overseas Living: For Americans Planning to Live and Work Abroad;L Robert Kohls;2001;Nicholas Brealey Intercultural
345362322;Know It All!: The Fun Stuff You Never Learned in School;Ed Zotti;1993;Ballantine Books
874779472;Deep Writing: 7 Principles That Bring Ideas to Life;Eric Maisel;1999;Jeremy P Tarcher
393324869;Naked Economics: Undressing the Dismal Science;Charles Wheelan;2003;WW Norton & Company
385722192;Lullaby: A Novel;Chuck Palahniuk;2003;Anchor Books/Doubleday
743455967;On Writing;Stephen King;2002;Pocket
679758941;Nonzero: The Logic of Human Destiny (Vintage);Robert Wright;2001;Vintage Books USA
151104212;Babbitt;Sinclair Lewis;1989;Harcourt
679430946;The Hot Zone;Richard Preston;1994;Random House
688164080;The KGB Bar Reader;Ken Foster;1998;Quill Press
1565840968;"\I Won't Learn from You\"": And Other Thoughts on Creative Maladjustment""";Herbert Kohl;1995;New Press
385094027;The Presentation of Self in Everyday Life;Erving Goffman;1959;Anchor
157322829;"Coercion: Why We Listen to What \They\"" Say""";Douglas Rushkoff;2000;Riverhead Books
130957011;Tested Advertising Methods (Prentice Hall Business Classics);John Caples;1998;Prentice Hall
1840463503;Introducing Learning and Memory (Introducing (Icon));Ziauddin Sardar;2002;Totem Books
435240609;Source Book for Teaching English as a Second Language;Michael Lewis;1993;Heinemann
840339402;Creativity is forever;Gary A Davis;1986;Kendall/Hunt Pub Co
879804211;The Knight in Rusty Armor;Robert Fisher;1989;Wilshire Book Company
130647608;Critical Thinking: Tools for Taking Charge of Your Professional and Personal Life;Richard W Paul;2002;Financial Times Prentice Hall
60931361;Plato, Not Prozac! : Applying Eternal Wisdom to Everyday Problems;Lou Marinoff;2000;Perennial
582037670;Alternatives Games Exercises and Conversations for the Language Classroom (Pilgrims Longman Resource Books);Richard Baudians;1990;Addison Wesley Publishing Company
531110397;Caution: This May Be an Advertisement : A Teen Guide to Advertising;Kathlyn Gay;1992;Scholastic Library Pub
345333152;The Straight Dope: A Compendium of Human Knowledge;Cecil Adams;1986;Ballantine Books
194315193;THE GOOD GRAMMAR BOOK: The Good Grammar Book with Answers;Michael Swan;2003;Oxford University Press
24031216;Freedom to Learn (3rd Edition);Carl R Rogers;1994;Prentice Hall
140137793;Lateral Thinking;Edward de Bono;1970;Intl Center for Creative Thinking
1;Discover Your Genius: How to Think Like History's Ten Most Revolutionary Minds;Michael J Gelb;2002;HarperCollins
953309819;The Resourceful English Teacher;Jonathan Chandler;1999;Delta Publishing
1555831753;The Trouble With Harry Hay: Founder of the Modern Gay Movement;Stuart Timmons;1990;Consortium Book Sales & Dist
62513982;By the River Piedra I Sat Down and Wept;Paulo Coelho;1996;HarperSanFrancisco
6251279;The Pilgrimage;Paulo Coelho;1995;HarperSanFrancisco
345453557;Vivian Lives;Sherrie Krantz;2003;Ballantine Books
93077356;The Remains of River Names;Matt Briggs;1999;Black Heron Press
60191988;A Night Without Armor : Poems;Jewel;1998;HarperCollins
68483992;MAKING YOUR OWN DAYS : THE PLEASURES OF READING AND WRITING POETRY;Kenneth Koch;1998;Scribner
425133656;Deep Thoughts;Jack Handey;1994;Berkley Publishing Group
874221501;Valley Walking: Notes on the Land (Northwest Voices Essay Series);Robert Schnelle;1997;Washington State University
451525353;The Love Songs of Sappho (Signet Classic);Paul Roche;1991;New Amer Library Classics
1563054671;The Little Zen Companion;David Schiller;1994;Workman Publishing
345453549;The Autobiography of Vivian: A Novel;Sherrie Krantz;2002;Ballantine Books
1580420079;Whiz Kids Teach Chess;Eric Schiller;1998;Cardoza
713440228;Sicilian-- e6 and-- d6 systems (Tournament player's repertoire of openings);G K Kasparov;1983;BT Batsford
441004997;The Hero and the Crown;Robin McKinley;1998;Ace Books
698119509;Spindle's End;Robin McKinley;2002;Firebird
689821417;The Rugrats Movie Tommys New Playmate (Rugrats);Luke David;1998;Simon Spotlight/Nickelodeon
67086935;Dog Brain;David Milgrim;1996;Viking Books
816743924;I Love You Stinky Face;Lisa McCourt;1997;Troll Communications
765341174;Sarah (Card, Orson Scott. Women of Genesis.);Orson Scott Card;2001;Forge
30768993;The Mother Goose Book (Golden Book for Early Childhood);Nina Barbaresi;1982;Golden Press
679434054;The Scarlet Ruse (Price-Less Audio Series);John D MacDonald;1994;Random House Trade
1570960305;The Tea Planter's Bride/Cassette;Rosemary Rogers;1995;Romance Alive Audio Books
886777208;Sword of Ice: And Other Tales of Valdemar (Daw Book Collectors);Mercedes Lackey;1999;Daw Books
886777550;Storm Breaking (The Mage Storms, Book 3);Mercedes Lackey;1997;Daw Books
886777127;Storm Rising (Mage Storms Trilogy);Mercedes Lackey;1996;Daw Books
886776619;Storm Warning (The Mage Storms, Book 1);Mercedes Lackey;1995;Daw Books
886776120;Winds of Fury (The Mage Winds, Book 3);Mercedes Lackey;1994;Daw Books
886775639;Winds of Change (The Mage Winds, Book 2);Mercedes Lackey;1994;Daw Books
886774632;By the Sword (Kerowyn's Tale);Mercedes Lackey;1991;Daw Books
886775043;Horse Fantastic;Martin Harry Greenberg;1991;Daw Books
886774144;The Oathbound (Vows and Honor, Book 1);Mercedes Lackey;1996;Daw Books
886774543;Oathbreakers (Vows and Honor, Book 2);Mercedes Lackey;1995;Daw Books
886777739;Oathblood (Vows and Honor, Book 3);Mercedes Lackey;1998;Daw Books
886774004;Arrow's Fall (The Heralds of Valdemar, Book 3);Mercedes Lackey;1996;Daw Books
886773776;Arrow's Flight (The Heralds of Valdemar, Book 2);Mercedes Lackey;1987;Daw Books
671701843;CHESSERCIZES:  NEW WINNING TECHNIQUES FOR PLAYERS OF ALL LEVELS;Bruce Pandolfini;1991;Fireside
812535219;Saints;Orson Scott Card;1993;Tor Books (Mm)
312921098;Treason;Orson Scott Card;1990;St Martins Pr (Mm)
812533313;The Worthing Saga;Orson Scott Card;1992;Tor Books
812533577;Wyrms;Orson Scott Card;1988;Tor Books
812500865;The Folk of the Fringe;Orson Scott Card;1994;Tor Books (Mm)
812521358;Hart's Hope;Orson Scott Card;1988;Tor Books
812523679;Monkey Sonatas;Orson Scott Card;1993;Tor Books (Mm)
812523040;Cruel Miracles;Orson Scott Card;1992;Tor Books (Mm)
812533658;The Changed Man (Changed Man);Orson Scott Card;1992;Tor Books (Mm)
812516850;Flux: Tales of Human Futures;Orson Scott Card;1992;Tor Books (Mm)
669271896;The Second Rape: Society's Continued Betrayal of the Victim;Lee Madigan;1991;John Wiley & Sons Inc
812532961;Earthfall (Homecoming (Paperback));Orson Scott Card;1996;Tor Books
812532988;Earthborn (Homecoming (Paperback));Orson Scott Card;1996;Tor Books
812532619;The Call of Earth;Orson Scott Card;1994;Tor Books
812532635;The Ships of Earth : Homecoming: Volume 3 (Homecoming Saga);Orson Scott Card;1995;Tor Science Fiction
886776589;Beyond Ragnarok (Renshai Chronicles, Vol 1);Mickey Zucker Reichert;1995;Daw Books
886777151;Prince of Demons (Renshai Chronicles/Mickey Zucker Reichert, Vol 2);Mickey Zucker Reichert;1996;Daw Books
886778603;The Children of Wrath (Renshai Chronicles);Mickey Zucker Reichert;1999;Daw Books
886775493;Child of Thunder (Daw Book Collectors);Mickey Zucker Reichert;1993;Daw Books
886775205;The Western Wizard (Renshai Trilogy);Mickey Zucker Reichert;1997;Daw Books
886775035;The Last of the Renshai;Mickey Zucker Reichert;1996;Daw Books
380775123;Tiger Burning Bright;Marion Zimmer Bradley;1996;Eos
61020427;Sword and Shadow (Sword in Exile, Book 3);Ann Marston;2000;Eos (HarperCollins)
61020419;King of Shadows (Sword in Exile, Book 2);Ann Marston;1999;Eos
61059773;Cloudbearer's Shadow (Sword in Exile, Book 1);Ann Marston;1999;Eos
61056294;Kingmaker's Sword (The Rune Blade Trilogy, Book 1);Ann Marston;1996;Eos
451458028;The Invisible Ring;Anne Bishop;2000;Roc
451459423;The House of Gaian;Anne Bishop;2003;Roc
451458990;Shadows and Light;Anne Bishop;2002;Roc
451458508;The Pillars of the World;Anne Bishop;2001;Roc
746030517;Usborne Living World Encyclopedia (Usborne Encyclopedia);Emma Speare;1999;EDC Publishing
874936225;Pediatric Basic Life Support, 1997-1999;American Heart Association;1997;Channing L Bete Co
965987302;Birthing from Within: An Extra-Ordinary Guide to Childbirth Preparation;Pam England;1998;Partera Press
688161162;Easy to Love, Difficult to Discipline: The Seven Basic Skills for Turning Conflict into Cooperation;Rebecca Anne Bailey;2000;William Morrow & Company
875962432;Dr. Pitcairn's Complete Guide to Natural Health for Dogs & Cats;Richard H Pitcairn;1995;Rodale Books
201632721;Mothering the Mother: How a Doula Can Help You Have a Shorter, Easier, and Healthier Birth;Marshall H Klaus;1993;Addison Wesley Publishing Company
553379534;Women's Bodies, Women's Wisdom: Creating Physical and Emotional Health and Healing;Christiane Northrup;1998;Bantam Books
894716174;The Baby Games: The Joyful Guide to Child's Play from Birth to Three Years;Elaine Martin;1988;Running Press Book Publishers
1556432151;The Vaccine Guide: Making an Informed Choice;Randall Neustaedter;1996;North Atlantic Books
1891400495;A Simple Choice : A Practical Guide to Saving Your Time, Money and Sanity;Deborah Taylor-Hough;2000;Champion Press Ltd
671025554;What's in a Name;Susan Osborn;1999;Pocket
316542377;Toilet Learning : The Picture Book Technique for Children and Parents;Alison Mack;1983;Little, Brown
912500867;Defining your Own Success: Breastfeeding After Breast Reduction Surgery;Diana West;2001;La Leche League International
1558506438;The Everything Games Book: Hundreds of Classic Games for All Ages (The Everything);Tracy Fitzsimmons;1996;Adams Media Corporation
316779059;The Baby Book: Everything You Need to Know About Your Baby from Birth to Age Two;Martha Sears;1993;Little, Brown
764550039;Chess for Dummies;James  Eade;1996;For Dummies
192800493;The Oxford Companion to Chess;David Hooper;1996;Oxford Univ Pr
375815260;Charlie and the Chocolate Factory;ROALD DAHL;2001;Knopf Books for Young Readers
882710583;Catholic Children's Bible;Mary Theola;1985;Regina Press Malhame & Company
60256737;A Light in the Attic;Shel Silverstein;1981;HarperCollins
60248025;Falling Up;Shel Silverstein;1996;HarperCollins
880887575;Flowers for My Friend (Peter Pauper Petite Ser);Christina M Anello;1992;Peter Pauper Press
786880007;Simplify Your Life : 100 Ways to Slow Down and Enjoy the Things That Really Matter;Elaine St James;1994;Hyperion
793800153;Your First Parakeet;J E Lohr;1996;TFH Publications
595006035;Banking on Torture: A Nina Steel Adventure (Nina Steel Adventures);Ray Hansen;2000;Writers Club Press
595093019;Reunion: Nina Steel Adventures (Nina Steel Adventures);Ray Hansen;2000;Writers Club Press
761107363;97 Ways to Make A Baby Laugh;Jack Moore;1997;Workman Publishing
515136379;Key of Knowledge (Key Trilogy (Paperback));Nora Roberts;2003;Jove Books
515136530;Key of Valor (Roberts, Nora. Key Trilogy, 3.);Nora Roberts;2003;Jove Pubns
553288202;The Fall of Hyperion;Dan Simmons;1991;Bantam
812545990;Starfarers;Poul Anderson;1999;Tor Books
671524313;The Girlfriends' Guide to Pregnancy;Vicki Iovine;1995;Pocket
51513628;Key of Light (Key Trilogy (Paperback));Nora Roberts;2003;Jove Books
912500522;Mothering Your Nursing Toddler;Norma J Bumgarner;2000;La Leche League International
912500549;How Weaning Happens;Diane Bengson;1999;La Leche League International
451529014;The Black Jewels Trilogy: Daughter of the Blood/Heir to the Shadows/Queen of the Darkness;Anne Bishop;2003;Roc
886777593;Prince of Demons (Renshai Chronicles);Mickey Zucker Reichert;1997;Daw Books
886777011;Beyond Ragnarok (Renshai Chronicles);Mickey Zucker Reichert;1996;Daw Books
385294638;Wanderlust;Danielle Steel;1986;Delacorte Press
486275728;Irish Fairy Tales (Children's Thrift Classics);Philip Smith;1993;Dover Publications
156402976;Catkin;Antonia Barber;1996;Candlewick Press (MA)
895779129;Foods That Harm, Foods That Heal:  An A - Z Guide to Safe and Healthy Eating;Reader's Digest;1997;Readers Digest
60950536;Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control and Pregnancy Achievement;Toni Weschler;1995;Perennial
895295458;Smart Medicine for a Healthier Child: A Practical A-To-Z Reference to Natural and Conventional Treatments for Infants and Children;Janet Zand;1994;Avery Publishing Group
688117619;Mayo Clinic Complete Book of Pregnancy & Baby's First Year;Mayo Clinic;1994;William Morrow
671027441;Natural Family Living : The Mothering Magazine Guide to Parenting;Peggy O'Mara;2000;Atria
590448293;Karen's Big Joke (Baby-Sitters Little Sister (Paperback));Ann M Martin;1992;Scholastic
590448285;Karen's Tea Party (Baby-Sitters Little Sister, 28);Ann M Martin;1992;Scholastic
59046597;The Littles Give a Party (Littles);John Peterson;1995;Scholastic
590455788;The Littles and the Terrible Tiny Kid (Littles);John Peterson;1993;Scholastic Paperbacks
439222303;Poof! Rabbits Everywhere! (Abracadabra!, 1);Peter Lerangis;2002;Little Apple
786710330;Time Machines: The Best Time Travel Stories Ever Written;Bill, Jr Adler;2002;Carroll & Graf Publishers
786814241;Cheetah Girls, The: Woof, There It Is - Book #5 (Cheetah Girls, No 5);Deborah Gregory;2000;Jump Sun
439176824;The Fall (The Seventh Tower, Book 1);Garth Nix;2000;Scholastic
590956159;In the Time of Dinosaurs (Animorphs Megamorphs, 2);Katherine Applegate;1998;Apple
590010891;Star Wars Episode I: The Phantom Menace;Patricia C Wrede;1999;Scholastic
142302163;The Ghost Sitter;Peni R Griffin;2002;Puffin Books
38071907;Nothing But The Truth: A Documentary Novel;Avi;1993;HarperTrophy
1565111575;Return of the Jedi: The Original Radio Drama;Anthony Daniels;1996;Highbridge Audio
1567187293;Silver's Spells for Protection;Silver Raven Wolf;2000;Llewellyn Publications
1561008931;Knee Deep in Paradise (Nova Audio Books);Brett Butler;1996;Brilliance Audio - Trade
671038931;Isaac Asimov's Robot City Volume 1 (Robot City (Two in One Collection));Michael P Kube-Mcdowell;1999;I Books
1570420564;A Dream Is a Wish Your Heart Makes: My Story;Annette Funicello;1994;Time Warner Audio Books
373691653;Packing Heat (Harlequin Temptation, No. 965);Julie Kistler;2004;Harlequin
448426862;Who Was Harry Houdini? (Who Was...?);Tui T Sutherland;2002;Grosset & Dunlap
59047054;Claudia and the Clue in the Photograph (Baby-Sitters Club Mystery, 16);Ann M Martin;1994;Scholastic
881848603;This Day in Rock: Day by Day Record of Rock's Biggest News Stories;John Tobler;1993;Pub Group West
806512318;The Worst Rock-And-Roll Records of All Time: A Fan's Guide to the Stuff You Love to Hate;Jimmy Guterman;1991;Carol Publishing Corporation
394563131;One Size Doesn't Fit All;John Madden;1988;Random House Inc
394553284;One Knee Equals Two Feet (And Everything Else You Need to Know About Football);John Madden;1986;Villard Books
688047211;The Lives of John Lennon;Albert Goldman;1988;Harpercollins
151879834;Tales from Margaritaville: Fictional Facts and Factual Fictions;Jimmy Buffett;1989;Harcourt
345351738;2061: Odyssey Three;Arthur C Clarke;1988;Ballantine Books
451125452;Salem's Lot;Stephen King;1979;Signet Book
451149513;It;Stephen King;1987;New Amer Library
37328960;Outlaw Love  (Debut Author) (Harlequin Historicals, No 360);Judith Stacy;1997;Harlequin
93317490;The Yucatan: A Guide to the Land of Maya Mysteries Plus Sacred Sites at Belize, Tikal & Copan (Tetra);Antoinette May;1993;Wide World Publishing
764550349;Consulting for Dummies;Bob  Nelson;1997;For Dummies
373638167;Savage Sun  (Outlanders #3) (Outlanders);James Axler;1997;Gold Eagle
441693237;Quantum Leap: Too Close for Comfort (Quantum Leap);Ashley McConnell;1993;Ace Books
1572970944;Quantum Leap: The Novel (Quantum Leap);Ashley McConnell;1992;Berkley Publishing Group
441000762;Quantum Leap Prelude (Quantum Leap);Ashley McOnnell;1994;Ace Books
1559029897;Aerie Tik Tok of Oz: Defiant-Cn16dp;Baum;1988;Tor Books
679805265;Long Shot (Three Investigators Crimebusters (Paperback));Megan Stine;1993;Random House Children's Books
394843509;Reel Trouble (The Three Investigators Crimebusters, Book 7);G H Stone;1989;Random House Children's Books
373765649;Breathless For The Bachelor (Silhouette Desire, 1564);Cindy Gerard;2004;Silhouette
373642970;Deadly Pursuit : The Moon Shadow Trilogy (Executioner, 297);Don Pendelton;2003;Gold Eagle
373642962;The Executioner: Nuclear Game;Don Pendelton;2003;Gold Eagle
373642954;The Executioner: Hostile Alliance;Don Pendleton;2003;Gold Eagle
373642946;Scorpion Rising  (The Executioner #294);Don Pendleton;2003;Gold Eagle
373642938;Death Merchants  (Executioner 293);Don Pendleton;2003;Gold Eagle
373642911;Blood Trade  (The Executioner #291);Don Pendleton;2003;Gold Eagle
373642903;Pursued  (The Executioner #290);Don Pendleton;2003;Gold Eagle
373642857;Final Strike  (Executioner #285) (Executioner, 285);Don Pendleton;2002;Gold Eagle
373642849;The Executioner: Devil's Army;Don Pendleton;2002;Gold Eagle
373642822;Jungle Conflict (Executioner #282) (Executioner, 282);Don Pendleton;2002;Gold Eagle
37364292;Savage Game  (Executioner #292);Don Pendleton;2003;Gold Eagle
373614918;Mack Bolan: Line of Control;Don Pendleton;2003;Gold Eagle
373632452;Waste Not, Want Not  (Destroyer #130);Warren Murphy;2003;Gold Eagle
440219035;Tunes for Bears to Dance to;Robert Cormier;1994;Laure Leaf
373619472;Freedom Watch  (Stony Man #63);Don Pendleton;2003;Gold Eagle
373619499;Stony Man: The Third Protocol;Don Pendleton;2003;Gold Eagle
373619502;Axis Of Conflict   The Terror File;James Axler;2003;Gold Eagle
373614896;Strike and Retrieve  (Super Bolan #89);Don Pendleton;2003;Gold Eagle
373638078;Earthblood (Gold Eagle Super Bolan);James Axler;1993;Gold Eagle
803298145;When Worlds Collide (Bison Frontiers of Imagination);Philip Wylie;1999;University of Nebraska Press
743486625;Damnation Alley;Roger Zelazny;2004;I Books
34528710;Han Solo and the Lost Legacy;Brian Daley;1980;Del Rey Books
671803530;APPLE TO CORE;Peter McCabe;1976;Pocket
37361490;Age of War  (Super Bolan #90);Don Pendleton;2003;Gold Eagle
590880748;Destination Unknown (Remnants, 2);K A Applegate;2001;Scholastic
590879979;The Mayflower Project (Remnants, No 1);Katherine A Applegate;2001;Scholastic
590880780;Them (Remnants, 3);K A Applegate;2001;Scholastic
679811761;The Secret of Terror Castle (Three Investigators, No 1);Robert Arthur;1991;Random House Children's Books
440920221;Dracula Go Home;Kin Platt;1985;Bantam Books (Mm)
698119916;Time Stops for No Mouse (Hermux Tantamoq Adventure);Michael Hoeye;2003;Penguin USA (Paper)
441007732;The Legend of Luke (Redwall, Book 12);Brian Jacques;2001;Ace Books
97089726;Jasper;Michelle Groce;2003;Novello Festival Press
37379116;Anything Goes (Harlequin Blaze, 112);Debbi Rawlins;2003;Harlequin
60506989;We Were Soldiers Once... and Young: Ia Drang--The Battle That Changed the War in Vietnam;Harold G Moore;2002;HarperTorch
451191579;Rebound: The Odyssey of Michael Jordan;Bob Greene;1996;Signet Book
375706933;My Cat Spit McGee (Vintage);Willie Morris;2000;Vintage Books USA
345423038;The Wild Road;Gabriel King;1999;Del Rey Books
553073273;Heir to the Empire (Star Wars, Vol. 1);Timothy Zahn;1991;Bantam
38513097;Mary Frampton and friends rock and roll recipes;Mary Frampton;1980;Anchor Books
394531094;Hey, Wait a Minute! I Wrote a Book!;John Madden;1985;Random House Inc
786807555;Under a War-Torn Sky;Laura Malone Elliott;2001;Hyperion Books for Children
373614845;Mack Bolan: Dark Truth;Don Pendleton;2002;Gold Eagle
97089726;Jasper;Michelle Groce;2003;Novello Festival Press
553290851;22 Indigo Place;SANDRA BROWN;1991;Bantam
886774829;Stronghold (Dragon Star, Book 1);Melanie Rawn;1994;Daw Books
886774500;Dragon Prince (Dragon Prince, Book 1);Melanie Rawn;1994;Daw Books
886775426;The Dragon Token (Dragon Star, Book 2);Melanie Rawn;1994;Daw Books
886775957;Skybowl (Dragon Star, Book 3);Melanie Rawn;1994;Daw Books
671693816;Wifey;Judy Blume;1989;Pocket
785276890;Surprised By Laughter : The Comic World of C.S. Lewis;Terry Lindvall;1996;Nelson Reference
743445813;Tea for Two;Cathy Maxwell;2002;Pocket
843949856;To Burn;Claudia Dain;2002;Leisure Books
440222109;The Border Hostage;Virginia Henley;2002;Dell Publishing Company
1565928431;ASP in a Nutshell, 2nd Edition;A Keyton Weissinger;2000;O'Reilly
1931836876;Stealing the Network: How to Own the Box;Ryan Russell;2003;Syngress
96265342;Principia Discordia;Omar K Ravenhurst;1991;Illuminet Press
596000588;XML in a Nutshell : A Desktop Quick Reference (Nutshell Handbook);W Scott Means;2001;O'Reilly
1565927206;VBScript in a Nutshell (In a Nutshell (O'Reilly));Paul Lomax;2000;O'Reilly
1565926994;Programming the Perl DBI;Alligator Descartes;2000;O'Reilly
486211339;Odd John and Sirius: Two Science Fiction Novels;William Olaf Stapledon;1972;Dover Publications
914918346;Kahuna Magic;Brad Steiger;1997;Schiffer Publishing
835605728;Kahuna Healing: Holistic Health and Healing Practices of Polynesia;Serge King;1983;Quest Books (IL)
72131780;Cascading Style Sheets 2.0 Programmer's Reference;Eric A Meyer;2001;McGraw-Hill Osborne Media
